Article Reference,Article Title,Book Reference,Article Link,Book Link,Plant Genus,Plant Species,Plant Cultivar,Plant Tissue,Organic or Inorganic ,Phyto Process ,Contaminant Type,Contaminant,Contaminant Abbreviation,Removal Rate,Removal Rate Units,Timeline,Notes,Plant Category,Soil Ph,Soil type,Moisture,Shade,Height,Growth Rate,US Hardiness Zone,Plant Image,Contaminant Image,Geography,Seasonal Interest Spring,Seasonal Interest Summer,Seasonal Interest Fall,Seasonal Interest Winter
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolizm",heavy metal,zinc,Zn,1305,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,roots,inorganic,"phytoextraction, phytostabilization and phytometabolizm",heavy metal,zinc,Zn,5983,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Lotfy & Mostafa 2014,Phytoremediation of contaminated soil with cobalt and chromium,,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,,Helianthus,annuus,,roots/shoots,inorganic,phytostabilization,heavy metal,cobalt,Co,57.7,mg/kg,,"Total uptake by whole plant, authors also provide root and shoot rates too",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,,,"upright orange, red, yellow flowers","upright orange, red, yellow flowers",
Lotfy & Mostafa 2014,Phytoremediation of contaminated soil with cobalt and chromium,,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,,Helianthus,annuus,,roots/shoots,inorganic,phytostabilization,heavy metal,cobalt,Co,36.3,mg/kg,,"Total uptake by whole plant, authors also provide root and shoot rates too",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,,,"upright orange, red, yellow flowers","upright orange, red, yellow flowers",
Lotfy & Mostafa 2014,Phytoremediation of contaminated soil with cobalt and chromium,,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,,Helianthus,annuus,,roots/shoots,inorganic,phytostabilization,heavy metal,chromium,Cr,75.8,mg/kg,,"Total uptake by whole plant, authors also provide root and shoot rates too",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,,,"upright orange, red, yellow flowers","upright orange, red, yellow flowers",
Lotfy & Mostafa 2014,Phytoremediation of contaminated soil with cobalt and chromium,,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,,Helianthus,annuus,,roots/shoots,inorganic,phytostabilization,heavy metal,chromium,Cr,61.6,mg/kg,,"Total uptake by whole plant, authors also provide root and shoot rates too",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,,,"upright orange, red, yellow flowers","upright orange, red, yellow flowers",
Hutchinson 2000,Determining uptake of ‘non-labile’ soil cadmium by Thlaspi caerulescens using isotopic dilution techniques,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.2000.00657.x,,Lepidium,heterophyllum,,shoots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,17.4,mg/kg,,study reports concentration values for plants from different populations grown in pots with soils in three sites within the sewage and mine contaminated regions. I take the average of these (see Table 2),herbaceous,"pH: mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,SN,.3 m,M,,,,,white flower,white flower,,
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,leaves,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,353,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,stems,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,96,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,181,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,leaves,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,3.56,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,stems,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.77,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.49,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,leaves,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,2326,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,stems,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,371,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,1374,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,leaves,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,4.87,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,stems,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.75,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.04,mg/kg,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8 ,,,,flower,color ranges from yellowish to bluish color. ,foliage is yellowis ,multi-stemmed shrub. foliage can persist in winter. 
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,1430,mg/kg,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,shoots,inorganic,phytometabolism and phytostabilization,heavy metal,copper,Cu,26.1,mg/kg,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,9791,mg/kg,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,roots,inorganic,phytometabolism and phytostabilization,heavy metal,copper,Cu,51,mg/kg,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Chen 2003,The role of arbuscular mycorrhiza in zinc uptake by red clover growing in a calcareous soil spiked with various quantities of zinc,,https://www.sciencedirect.com/science/article/pii/S004565350200228X?casa_token=iX2CKSljzMsAAAAA:4YeGpqHEPKNzAoJ3jN3Au3daFX0iN4p-WOU50FGb2g-VMzD_YWY5gXnXS-fZ_vSShX6VmlOMprg,,Trifolium,pratense,,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,153.1,mg/kg,,study has three levels of Zn addition crossed with AM-fungi innoculation. Report values from max Zn conc (400 mg/kg) and no AM-fungi. NB AM-Fungi did increase concentrations,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Chen 2003,The role of arbuscular mycorrhiza in zinc uptake by red clover growing in a calcareous soil spiked with various quantities of zinc,,https://www.sciencedirect.com/science/article/pii/S004565350200228X?casa_token=iX2CKSljzMsAAAAA:4YeGpqHEPKNzAoJ3jN3Au3daFX0iN4p-WOU50FGb2g-VMzD_YWY5gXnXS-fZ_vSShX6VmlOMprg,,Trifolium,pratense,,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,298.6,mg/kg,,study has three levels of Zn addition crossed with AM-fungi innoculation. Report values from max Zn conc (400 mg/kg) and no AM-fungi. NB AM-Fungi did increase concentrations,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Delorme 2001,Influence of the zinc hyperaccumulator Thlaspi caerulescens J. & C. Presl. and the nonmetal accumulator Trifolium pratense L. on soil microbial populations,,https://cdnsciencepub.com/doi/abs/10.1139/w01-067?casa_token=0QDiSQhG2F4AAAAA:SIAtDkvt3GSPcfIQFL73FuWreda8HeL617uutkof-8-t0GtynQrI6azWjQSI0ypOUKseVb-5WlthSQ,,Trifolium,pratense,,shoots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,15.3,mg/kg,,report values from the heavy metal soils and pH 5.8. ,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Delorme 2001,Influence of the zinc hyperaccumulator Thlaspi caerulescens J. & C. Presl. and the nonmetal accumulator Trifolium pratense L. on soil microbial populations,,https://cdnsciencepub.com/doi/abs/10.1139/w01-067?casa_token=0QDiSQhG2F4AAAAA:SIAtDkvt3GSPcfIQFL73FuWreda8HeL617uutkof-8-t0GtynQrI6azWjQSI0ypOUKseVb-5WlthSQ,,Trifolium,pratense,,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,281.9,mg/kg,,report values from the heavy metal soils and pH 5.8. ,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Li 2001,Changes in soil solution Zn and pH and uptake of Zn by arbuscular mycorrhizal red clover in Zn-contaminated soil,,10.1016/s0045-6535(00)00126-0,,Trifolium,pratense,Merwe,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,218.2,mg/kg,,values are from  non-AM plants with the highest Zn concentration (1000 mg/kg),herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
