reference,first_author,publication_year,title,reference_link,plant_species,common_name,plant_family,plant_cultivar,plant_tissue,organic_inorganic,phyto_process,contaminant_type,contaminant,contaminant_symbol,removal_rate,plant_name,vegetation_type,soil_ph,soil,moisture,shade,height,growth_rate,hardiness_zone,plant_image,contaminant_image,material_image
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,shoots,Inorganic,"phytoextraction, phytostabilization and phytometabolizm",Heavy metal,zinc,Zn,1305,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,roots,Inorganic,"phytoextraction, phytostabilization and phytometabolizm",Heavy metal,zinc,Zn,5983,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Lotfy & Mostafa 2014,Lotfy & Mostafa,2014,Phytoremediation of contaminated soil with cobalt and chromium,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,Helianthus annuus,Solros,Asteraceae,,roots/shoots,Inorganic,phytostabilization,Heavy metal,cobalt,Co,57.7,Helianthus annuus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,
Lotfy & Mostafa 2014,Lotfy & Mostafa,2014,Phytoremediation of contaminated soil with cobalt and chromium,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,Helianthus annuus,Solros,Asteraceae,,roots/shoots,Inorganic,phytostabilization,Heavy metal,cobalt,Co,36.3,Helianthus annuus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,
Lotfy & Mostafa 2014,Lotfy & Mostafa,2014,Phytoremediation of contaminated soil with cobalt and chromium,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,Helianthus annuus,Solros,Asteraceae,,roots/shoots,Inorganic,phytostabilization,Heavy metal,chromium,Cr,75.8,Helianthus annuus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,
Lotfy & Mostafa 2014,Lotfy & Mostafa,2014,Phytoremediation of contaminated soil with cobalt and chromium,https://www.sciencedirect.com/science/article/pii/S0375674213001362?casa_token=avMaI_GIqXQAAAAA:4qVVJ3j0toZuZDFyZpaixE2s5DPYcgeQjEoDBNq730LgGsr5Tlm0bX9UIWaqSDQX3i565M29KM4,Helianthus annuus,Solros,Asteraceae,,roots/shoots,Inorganic,phytostabilization,Heavy metal,chromium,Cr,61.6,Helianthus annuus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,SN,3,F,6 - 9,,,
Hutchinson 2000,Hutchinson,2000,Determining uptake of ‘non-labile’ soil cadmium by Thlaspi caerulescens using isotopic dilution techniques,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.2000.00657.x,Lepidium heterophyllum,Vallkrassing,Brassicaceae,,shoots,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,17.4,Lepidium heterophyllum Benth.,herbaceous,"pH: mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,SN,.3 m,M,,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,leaves,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,353,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,stems,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,96,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,roots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,181,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,leaves,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,3.56,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,stems,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,1.77,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,roots,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,1.49,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,leaves,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,2326,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,stems,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,371,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,roots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,1374,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,leaves,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,4.87,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,stems,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,1.75,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Hammer 2002,Hammer,2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,Salix viminalis,Korgvide,Salicaceae,,roots,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,1.04,Salix viminalis L.,shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,
Bi 2003,Bi,2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,Trifolium pratense,Rödklöver,Fabaceae,Merwe,shoots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,1430,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Bi 2003,Bi,2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,Trifolium pratense,Rödklöver,Fabaceae,Merwe,shoots,Inorganic,phytometabolism and phytostabilization,Heavy metal,copper,Cu,26.1,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Bi 2003,Bi,2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,Trifolium pratense,Rödklöver,Fabaceae,Merwe,roots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,9791,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Bi 2003,Bi,2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,Trifolium pratense,Rödklöver,Fabaceae,Merwe,roots,Inorganic,phytometabolism and phytostabilization,Heavy metal,copper,Cu,51,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Chen 2003,Chen,2003,The role of arbuscular mycorrhiza in zinc uptake by red clover growing in a calcareous soil spiked with various quantities of zinc,https://www.sciencedirect.com/science/article/pii/S004565350200228X?casa_token=iX2CKSljzMsAAAAA:4YeGpqHEPKNzAoJ3jN3Au3daFX0iN4p-WOU50FGb2g-VMzD_YWY5gXnXS-fZ_vSShX6VmlOMprg,Trifolium pratense,Rödklöver,Fabaceae,,shoots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,153.1,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Chen 2003,Chen,2003,The role of arbuscular mycorrhiza in zinc uptake by red clover growing in a calcareous soil spiked with various quantities of zinc,https://www.sciencedirect.com/science/article/pii/S004565350200228X?casa_token=iX2CKSljzMsAAAAA:4YeGpqHEPKNzAoJ3jN3Au3daFX0iN4p-WOU50FGb2g-VMzD_YWY5gXnXS-fZ_vSShX6VmlOMprg,Trifolium pratense,Rödklöver,Fabaceae,,roots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,298.6,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Delorme 2001,Delorme,2001,Influence of the zinc hyperaccumulator Thlaspi caerulescens J. & C. Presl. and the nonmetal accumulator Trifolium pratense L. on soil microbial populations,https://cdnsciencepub.com/doi/abs/10.1139/w01-067?casa_token=0QDiSQhG2F4AAAAA:SIAtDkvt3GSPcfIQFL73FuWreda8HeL617uutkof-8-t0GtynQrI6azWjQSI0ypOUKseVb-5WlthSQ,Trifolium pratense,Rödklöver,Brassicaceae,,shoots,Inorganic,phytoextraction and phytostabilization,Heavy metal,cadmium,Cd,15.3,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Delorme 2001,Delorme,2001,Influence of the zinc hyperaccumulator Thlaspi caerulescens J. & C. Presl. and the nonmetal accumulator Trifolium pratense L. on soil microbial populations,https://cdnsciencepub.com/doi/abs/10.1139/w01-067?casa_token=0QDiSQhG2F4AAAAA:SIAtDkvt3GSPcfIQFL73FuWreda8HeL617uutkof-8-t0GtynQrI6azWjQSI0ypOUKseVb-5WlthSQ,Trifolium pratense,Rödklöver,Brassicaceae,,shoots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,281.9,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Li 2001,Li,2001,Changes in soil solution Zn and pH and uptake of Zn by arbuscular mycorrhizal red clover in Zn-contaminated soil,10.1016/s0045-6535(00)00126-0,Trifolium pratense,Rödklöver,Fabaceae,Merwe,shoots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,218.2,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
Li 2001,Li,2001,Changes in soil solution Zn and pH and uptake of Zn by arbuscular mycorrhizal red clover in Zn-contaminated soil,10.1016/s0045-6535(00)00126-0,Trifolium pratense,Rödklöver,Fabaceae,Merwe,roots,Inorganic,"phytoextraction, phytostabilization and phytometabolism",Heavy metal,zinc,Zn,721.8,Trifolium pratense L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,
"Cook and Hesterberg, 2012 Fagiolo and Ferro, 2004",Foo,2003,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,Acer platanoides,Skogslönn,Sapindaceae,,,Organic,"phytovolatilzation, phytodegradation and Rhizodegradation",Petroleum,"Benzene, Toluene, Ethyl benzene, and Xylene",BTEX,1337,Acer platanoides L.,Tree,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,SN,21,F,3 - 7,,,
"Tischer and Hubner, 2002",Foo,2003,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,Alnus glutinosa,Klibbal,Betulaceae,,,Organic,"phytovolatilzation, phytodegradation and Rhizodegradation",Petroleum,Motor Oil Hydrocarbon,MOH,1337,Alnus glutinosa (L.) Gaertn.,Tree,"mildly acid, neutral and basic (mildly alkaline) soils",MH,MWe,SN,25 m,F,3 - 7,,,
"Cook and Hesterberg, 2012 Rezek et al., 2009",Foo,2003,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,Betula pendula,Vårtbjörk,Betulaceae,,,Organic,rhizodegradation and phytodegradation,Petroleum,Polycyclic Aromatic Hydrocarbons,PAH,1337,Betula pendula Roth,Tree,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid soils",LMH,DM,N,20,F,2 - 6,,,
"Kilakow, 2006c, Palmrith et al., 2006",Foo,2003,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,Poa pratensis,Ängsgröe,Betulaceae,,,Organic,,Petroleum,Total Petroleum Hydrocarbon,TPH,1337,Poa pratensis,grasses and sedges,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,15-100 cm,M,3 - 9,,,
"Kilakow, 2006c, Palmrith et al., 2006",Foo,2003,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,Poa pratensis,Ängsgröe,Poaceae,,,Organic,rhizodegradation and phytodegradation,Petroleum,Polycyclic Aromatic Hydrocarbons,PAH,1337,Poa pratensis,grasses and sedges,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,15-100 cm,M,3 - 9,,,
"Liužinas et al., 2003",Foo,2003,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,Tanacetum vulgare L.,Renfana,Asteraceae,,,Organic,"phytovolatilzation, phytodegradation and Rhizodegradation",Petroleum,Mazuts,Aliphatic petrochemicals,1337,Tanacetum vulgare L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils.",LMH,DM,N,40-160 cm,F,3 - 9,,,
"Palmroth et al., 2002",Foo,2003,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,Pinus sylvestris,Tall,Pinacea,,,Organic,"phytovolatilzation, phytodegradation and Rhizodegradation",Petroleum,Diesel,Aliphatic petrochemicals,1337,Pinus sylvestris,tree,"mildly acid, neutral and basic (mildly alkaline)",LM,DMWe,SN,20-30 m,F,3 - 7,,,
"Liužinas et al., 2003",Foo,2003,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,Tussilago farfara L.,Tussilago,Asteraceae,,,Organic,"phytovolatilzation, phytodegradation and Rhizodegradation",Petroleum,Mazuts,Aliphatic petrochemicals,1337,Tussilago farfara L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,SN,5-15 cm,F,4 - 8,,,
"Liužinas et al., 2003",Foo,2003,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,Artemisia campestris L.,Fältmalört,Asteraceae,,,Organic,"phytovolatilzation, phytodegradation and Rhizodegradation",Petroleum,Mazuts,Aliphatic petrochemicals,1337,Artemisia campestris L.,herbaceous,neutral and basic (mildly alkaline) soils,LM,DM,SN,30-150 cm,,4 - 8,,,
