Article Reference,Article Title,Book Reference,Article Link,Book Link,Plant Genus,Plant Species,Plant Cultivar,Plant Tissue,Organic or Inorganic,Phyto Process,Contaminant Type,Contaminant,Contaminant Abbreviation,Removal Rate,Removal Rate Units,Mass KG M2,Timeline,Notes,Plant Category,Soil Ph,Soil type,Moisture,Shade,Height,Growth Rate,US Hardiness Zone,Plant Image,Contaminant Image,Geography,Seasonal Interest Spring,Seasonal Interest Summer,Seasonal Interest Fall,Seasonal Interest Winter
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.49,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,leaves,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,2326,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,stems,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,371,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,1374,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,leaves,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,4.87,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,stems,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.75,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Hammer 2002,Changes in the Rhizosphere of Metal-Accumulating Plants Evidenced by Chemical Extractants,,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2134/jeq2002.1561?casa_token=TYQqZ4bAMZQAAAAA:mZJGZLuPBBiHfLZ6laM6OCHqBH-OJDrsxcU9M1Bl6ILyYwKAqwFtgAMaYrEKjPNil2EdYTKOYLgAC9o,,Salix,viminalis,,roots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,1.04,mg/kg,,,"Study reports other minerals (e.g., Mg, P, Fe, CA). grew plants on two soils types. Also includes T. arvense as a non-accumulator 'control' plant, but excluded here bc non-acc plant. report means from 4 'reps' (plants?)",shrub,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6,F,4  - 8,,,,flower,color ranges from yellowish to bluish color.,foliage is yellowis,multi-stemmed shrub. foliage can persist in winter.
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,1430,mg/kg,,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,shoots,inorganic,phytometabolism and phytostabilization,heavy metal,copper,Cu,26.1,mg/kg,,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,9791,mg/kg,,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Bi 2003,Influence of early stages of arbuscular mycorrhiza on uptake of zinc and phosphorus by red clover from a low-phosphorus soil amended with zinc and phosphorus,,https://www.sciencedirect.com/science/article/pii/S0045653502002278?casa_token=Lwto6m48KwUAAAAA:ajlKd9HDoTq600k79a7Q2q63l9r-9AjIIx7uCwG9Kr6PVXA4ELHVf8qkuIzfn4sCOQpd26zho44,,Trifolium,pratense,Merwe,roots,inorganic,phytometabolism and phytostabilization,heavy metal,copper,Cu,51,mg/kg,,,"values are from non-fert, non-AM plants with the highest Zn concentration (400 mg/kg)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Chen 2003,The role of arbuscular mycorrhiza in zinc uptake by red clover growing in a calcareous soil spiked with various quantities of zinc,,https://www.sciencedirect.com/science/article/pii/S004565350200228X?casa_token=iX2CKSljzMsAAAAA:4YeGpqHEPKNzAoJ3jN3Au3daFX0iN4p-WOU50FGb2g-VMzD_YWY5gXnXS-fZ_vSShX6VmlOMprg,,Trifolium,pratense,,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,153.1,mg/kg,,,study has three levels of Zn addition crossed with AM-fungi innoculation. Report values from max Zn conc (400 mg/kg) and no AM-fungi. NB AM-Fungi did increase concentrations,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Chen 2003,The role of arbuscular mycorrhiza in zinc uptake by red clover growing in a calcareous soil spiked with various quantities of zinc,,https://www.sciencedirect.com/science/article/pii/S004565350200228X?casa_token=iX2CKSljzMsAAAAA:4YeGpqHEPKNzAoJ3jN3Au3daFX0iN4p-WOU50FGb2g-VMzD_YWY5gXnXS-fZ_vSShX6VmlOMprg,,Trifolium,pratense,,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,298.6,mg/kg,,,study has three levels of Zn addition crossed with AM-fungi innoculation. Report values from max Zn conc (400 mg/kg) and no AM-fungi. NB AM-Fungi did increase concentrations,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Delorme 2001,Influence of the zinc hyperaccumulator Thlaspi caerulescens J. & C. Presl. and the nonmetal accumulator Trifolium pratense L. on soil microbial populations,,https://cdnsciencepub.com/doi/abs/10.1139/w01-067?casa_token=0QDiSQhG2F4AAAAA:SIAtDkvt3GSPcfIQFL73FuWreda8HeL617uutkof-8-t0GtynQrI6azWjQSI0ypOUKseVb-5WlthSQ,,Trifolium,pratense,,shoots,inorganic,phytoextraction and phytostabilization,heavy metal,cadmium,Cd,15.3,mg/kg,,,report values from the heavy metal soils and pH 5.8.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Delorme 2001,Influence of the zinc hyperaccumulator Thlaspi caerulescens J. & C. Presl. and the nonmetal accumulator Trifolium pratense L. on soil microbial populations,,https://cdnsciencepub.com/doi/abs/10.1139/w01-067?casa_token=0QDiSQhG2F4AAAAA:SIAtDkvt3GSPcfIQFL73FuWreda8HeL617uutkof-8-t0GtynQrI6azWjQSI0ypOUKseVb-5WlthSQ,,Trifolium,pratense,,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,281.9,mg/kg,,,report values from the heavy metal soils and pH 5.8.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
Li 2001,Changes in soil solution Zn and pH and uptake of Zn by arbuscular mycorrhizal red clover in Zn-contaminated soil,,10.1016/s0045-6535(00)00126-0,,Trifolium,pratense,Merwe,shoots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,218.2,mg/kg,,,values are from  non-AM plants with the highest Zn concentration (1000 mg/kg),herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
